Title,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO ,Na2O,K2O,P2O5,H2O,Initial Temperature,Final Temperature,Initial Pressure,Final Pressure,Increment Temperature,Increment Pressure,dp/dt,log fo2 Path
1,48,0.86,17.21,11.693,0.191,6.4692,12.2708,2.5236,0.6925,0.1099,2,1200,900,125,125,10,0,0,NNO
2,49,0.87,17.19,11.3175,0.1855,6.2041,11.8344,2.5604,0.7411,0.1128,2,1200,900,125,125,10,0,0,NNO
3,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,0.1157,2,1200,900,125,125,10,0,0,NNO
4,51,0.88,17.16,10.5665,0.1745,5.6739,10.9616,2.634,0.8383,0.1186,2,1200,900,125,125,10,0,0,NNO
5,52,0.89,17.14,10.191,0.169,5.4088,10.5252,2.6708,0.8869,0.1215,2,1200,900,125,125,10,0,0,NNO
6,53,0.9,17.12,9.8155,0.1635,5.1437,10.0888,2.7076,0.9355,0.1244,2,1200,900,125,125,10,0,0,NNO
7,54,0.91,17.11,9.44,0.158,4.8786,9.6524,2.7444,0.9841,0.1273,2,1200,900,125,125,10,0,0,NNO
8,55,0.92,17.09,9.0645,0.1525,4.6135,9.216,2.7812,1.0327,0.1302,2,1200,900,125,125,10,0,0,NNO
9,56,0.93,17.07,8.689,0.147,4.3484,8.7796,2.818,1.0813,0.1331,2,1200,900,125,125,10,0,0,NNO
10,57,0.94,17.06,8.3135,0.1415,4.0833,8.3432,2.8548,1.1299,0.136,2,1200,900,125,125,10,0,0,NNO
11,58,0.94,17.04,7.938,0.136,3.8182,7.9068,2.8916,1.1785,0.1389,2,1200,900,125,125,10,0,0,NNO
12,59,0.95,17.02,7.5625,0.1305,3.5531,7.4704,2.9284,1.2271,0.1418,2,1200,900,125,125,10,0,0,NNO
13,60,0.96,17.01,7.187,0.125,3.288,7.034,2.9652,1.2757,0.1447,2,1200,900,125,125,10,0,0,NNO
14,61,0.97,16.99,6.8115,0.1195,3.0229,6.5976,3.002,1.3243,0.1476,2,1200,900,125,125,10,0,0,NNO
15,62,0.98,16.97,6.436,0.114,2.7578,6.1612,3.0388,1.3729,0.1505,2,1200,900,125,125,10,0,0,NNO
16,63,0.99,16.95,6.0605,0.1085,2.4927,5.7248,3.0756,1.4215,0.1534,2,1200,900,125,125,10,0,0,NNO
17,64,1,16.94,5.685,0.103,2.2276,5.2884,3.1124,1.4701,0.1563,2,1200,900,125,125,10,0,0,NNO
18,65,1.01,16.92,5.3095,0.0975,1.9625,4.852,3.1492,1.5187,0.1592,2,1200,900,125,125,10,0,0,NNO
19,66,1.01,16.9,4.934,0.092,1.6974,4.4156,3.186,1.5673,0.1621,2,1200,900,125,125,10,0,0,NNO
20,67,1.02,16.89,4.5585,0.0865,1.4323,3.9792,3.2228,1.6159,0.165,2,1200,900,125,125,10,0,0,NNO
21,68,1.03,16.87,4.183,0.081,1.1672,3.5428,3.2596,1.6645,0.1679,2,1200,900,125,125,10,0,0,NNO
22,69,1.04,16.85,3.8075,0.0755,0.9021,3.1064,3.2964,1.7131,0.1708,2,1200,900,125,125,10,0,0,NNO
23,70,1.05,16.84,3.432,0.07,0.637,2.67,3.3332,1.7617,0.1737,2,1200,900,125,125,10,0,0,NNO
24,48,0.86,17.21,11.693,0.191,6.4692,12.2708,2.5236,0.6925,0.1099,2,1200,900,500,500,10,0,0,NNO
25,49,0.87,17.19,11.3175,0.1855,6.2041,11.8344,2.5604,0.7411,0.1128,2,1200,900,500,500,10,0,0,NNO
26,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,0.1157,2,1200,900,500,500,10,0,0,NNO
27,51,0.88,17.16,10.5665,0.1745,5.6739,10.9616,2.634,0.8383,0.1186,2,1200,900,500,500,10,0,0,NNO
28,52,0.89,17.14,10.191,0.169,5.4088,10.5252,2.6708,0.8869,0.1215,2,1200,900,500,500,10,0,0,NNO
29,53,0.9,17.12,9.8155,0.1635,5.1437,10.0888,2.7076,0.9355,0.1244,2,1200,900,500,500,10,0,0,NNO
30,54,0.91,17.11,9.44,0.158,4.8786,9.6524,2.7444,0.9841,0.1273,2,1200,900,500,500,10,0,0,NNO
31,55,0.92,17.09,9.0645,0.1525,4.6135,9.216,2.7812,1.0327,0.1302,2,1200,900,500,500,10,0,0,NNO
