Title,Index,Temp(C),Plg,volPlg,Olv,volOlv,Opx,volOpx,Cpx,volCpx,Hbl,volHbl,Amp,volAmp,Fe-Ti,volFe-Ti,rhm-Oxide,(vol%),Quartz(0:out/1:in),Biotite(0:out/1:in),Corundum(0:out/1:in),Water(0:out/1:in),Pressure,H2O
24,1,1129,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
24,2,1119,89,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
24,3,1109,88,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
24,4,1099,86,10.2,78,0,0,0,75,5.1,0,0,0,0,0.126,0.4,0,0,0,0,0,0,500,2
24,5,1089,83,15.9,77,0.9,0,0,74,11.3,0,0,0,0,0.139,2.2,0,0,0,0,0,0,500,2
24,6,1079,80,21.1,75,1.6,0,0,74,15.3,0,0,0,0,0.147,3.3,0,0,0,0,0,0,500,2
24,7,1069,77,25.8,74,2.2,0,0,74,18,0,0,0,0,0.153,4.1,0,0,0,0,0,0,500,2
24,8,1059,74,30.1,73,2.6,0,0,74,19.9,0,0,0,0,0.158,4.6,0,0,0,0,0,0,500,2
24,9,1049,71,34,72,3,0,0,74,21.4,0,0,0,0,0.162,5,0,0,0,0,0,0,500,2
24,10,1039,69,37.6,71,3.2,0,0,74,22.6,0,0,0,0,0.166,5.3,0,0,0,0,0,0,500,2
24,11,1029,66,40.8,71,3.5,0,0,73,23.5,0,0,0,0,0.169,5.5,0,0,0,0,0,0,500,2
24,12,1019,64,43.6,70,3.6,0,0,73,24.2,0,0,0,0,0.172,5.6,0,0,0,0,0,0,500,2
24,13,1009,62,46.1,69,3.8,0,0,73,24.9,0,0,0,0,0.176,5.6,0,0,0,0,0,0,500,2
24,14,999,61,48.1,68,3.9,0,0,73,25.3,0,0,0,0,0.179,5.7,0,0,0,0,0,0,500,2
24,15,989,60,49.9,67,4,0,0,73,25.7,0,0,0,0,0.181,5.7,0,0,0,0,0,0,500,2
24,16,979,59,51.2,67,4.1,0,0,73,26,0,0,0,0,0.184,5.7,0,0,0,0,0,0,500,2
24,17,969,58,52.4,66,4.1,0,0,73,26.2,0,0,0,0,0.187,5.7,0,0,0,0,0,0,500,2
24,18,959,57,53.4,66,4.2,0,0,74,26.4,0,0,0,0,0.189,5.7,0,0,0,0,0,0,500,2
24,19,949,57,54.4,65,3.9,72,0.6,74,26.4,0,0,0,0,0.19,5.7,0,0,0,0,0,0,500,2
24,20,939,57,55.1,64,3.8,72,1.2,74,26.3,0,0,0,0,0.19,5.7,0,0,0,0,0,0,500,2
24,21,929,56,55.8,64,3.6,71,1.7,74,26.1,0,0,0,0,0.19,5.7,0,0,0,0,0,0,500,2
24,22,919,56,56.4,63,3.4,71,2.1,74,26,0,0,0,0,0.19,5.7,0,0,0,0,0,0,500,2
