Number,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Cr2O3,NiO
1,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
2,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
3,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
4,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
5,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
6,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
7,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
8,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
9,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
10,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
11,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
12,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
13,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
14,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
15,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
16,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
17,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
18,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
19,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
20,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
21,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
22,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
23,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
24,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
25,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
26,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
27,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
28,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
29,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
30,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
31,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
32,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
33,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
34,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
35,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
36,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
37,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
38,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
39,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
40,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
41,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
42,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
43,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
44,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
45,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
46,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
47,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
48,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
49,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
50,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
51,38.95,0,0,28.82,0.21,31.34,0.21,0,0,0,0.15
