Num,TempC,Pbar,An,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,,,,,,,,,,
1,800,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,48,0.86,17.21,11.693,0.191,6.4692,12.2708,2.5236,0.6925
2,810,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,49,0.87,17.19,11.3175,0.1855,6.2041,11.8344,2.5604,0.7411
3,820,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,,,,,,,,,
4,830,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,51,0.88,17.16,10.5665,0.1745,5.6739,10.9616,2.634,0.8383
5,840,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,52,0.89,17.14,10.191,0.169,5.4088,10.5252,2.6708,0.8869
6,850,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,53,0.9,17.12,9.8155,0.1635,5.1437,10.0888,2.7076,0.9355
7,860,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,54,0.91,17.11,9.44,0.158,4.8786,9.6524,2.7444,0.9841
8,870,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,55,0.92,17.09,9.0645,0.1525,4.6135,9.216,2.7812,1.0327
9,880,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,56,0.93,17.07,8.689,0.147,4.3484,8.7796,2.818,1.0813
10,890,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,57,0.94,17.06,8.3135,0.1415,4.0833,8.3432,2.8548,1.1299
11,900,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,58,0.94,17.04,7.938,0.136,3.8182,7.9068,2.8916,1.1785
12,910,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,59,0.95,17.02,7.5625,0.1305,3.5531,7.4704,2.9284,1.2271
13,920,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,60,0.96,17.01,7.187,0.125,3.288,7.034,2.9652,1.2757
14,930,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,61,0.97,16.99,6.8115,0.1195,3.0229,6.5976,3.002,1.3243
15,940,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,62,0.98,16.97,6.436,0.114,2.7578,6.1612,3.0388,1.3729
16,950,2000,91,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,,63,0.99,16.95,6.0605,0.1085,2.4927,5.7248,3.0756,1.4215
