,0
0,3.052644191857738
1,4.694507375506134
2,3.130757121270007
3,3.5160935236025415
4,4.336553594348639
5,1.7489372833833028
6,3.1908545911808655
7,7.964600437713243
8,7.181184296680519
9,7.181184296680519
10,5.941561847703791
11,5.739333548002622
12,5.537105248301457
13,5.334876948600292
14,5.132648648899128
15,4.930420349197963
16,4.728192049496798
17,4.525963749795629
18,4.323735450094464
19,4.121507150393299
20,3.9192788506921303
21,3.7170505509909653
22,3.5148222512898
23,3.312593951588635
24,3.1103656518874665
25,2.9081373521863014
26,2.7059090524851364
