Num,TempC,Pbar,fO2,fO2delta,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O
1,1200,2000,NNO,0,51.1,0.93,17.5,8.91,0.18,6.09,11.5,3.53,0.17
2,1210,2000,NNO,0,51.1,0.93,17.5,8.91,0.18,6.09,11.5,3.53,0.17
3,1220,2000,NNO,0,51.1,0.93,17.5,8.91,0.18,6.09,11.5,3.53,0.17
4,1230,2000,NNO,0,51.1,0.93,17.5,8.91,0.18,6.09,11.5,3.53,0.17
5,1240,2000,NNO,0,51.1,0.93,17.5,8.91,0.18,6.09,11.5,3.53,0.17
6,1250,2000,NNO,0,51.1,0.93,17.5,8.91,0.18,6.09,11.5,3.53,0.17
7,1260,2000,NNO,0,51.1,0.93,17.5,8.91,0.18,6.09,11.5,3.53,0.17
8,1270,2000,NNO,0,51.1,0.93,17.5,8.91,0.18,6.09,11.5,3.53,0.17
9,1280,2000,NNO,0,51.1,0.93,17.5,8.91,0.18,6.09,11.5,3.53,0.17
10,1290,2000,NNO,0,51.1,0.93,17.5,8.91,0.18,6.09,11.5,3.53,0.17
11,1300,2000,NNO,0,51.1,0.93,17.5,8.91,0.18,6.09,11.5,3.53,0.17
