SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Cr2O3,NiO
55,0.34,1.5,11.3,0.24,30.7,0.9,0.01,0,0.19,0
52.7,0.15,8.1,8.48,0.14,29.4,2.14,0.14,0,0,0
53.2,0.2,7.4,8.8,0.13,29.2,2.37,0.14,0,0.02,0
55.15,0.17,1.19,10.21,0.22,29.99,1.66,0.03,0,0.15,0
56.32,0.13,1.41,10.17,0.26,30.88,1.05,0.02,0,0.16,0
54.4,0,5.4,5.9,0,31.2,2.3,0.2,0,0.6,0
54.1,0,5.7,6.3,0,31.5,1.65,0.25,0,0.5,0
55.2,0,3.3,5.6,0,32.7,2,0,0,1.3,0
54.1,0.09,4.2,5.9,0.21,31.3,2.9,0.04,0,1.32,0
54.2,0.06,4.3,5.66,0.19,31.6,2.68,0.04,0,1.3,0
54.5,0.09,3.9,5.8,0.19,31.6,2.7,0.08,0,1.3,0
53.3,0.16,7.5,5.4,0,30.6,2.3,0,0,0.76,0
52.9,0.09,6.9,6.72,0.12,30.6,1.63,0.07,0,0.5,0
55,0.09,6,6.4,0.13,31.2,1.7,0.05,0,0.8,0
54,0.06,8.26,6.13,0.04,30.5,2.18,0.15,0,0.06,0
54.9,0.17,6.22,6.03,0.15,31.7,2.46,0.14,0,0.1,0
52.3,0.38,8.16,9.23,0.15,20.6,2.16,0.23,0,0.06,0
52.6,0.28,8.6,7.91,0.12,29.5,2.11,0.15,0,0,0
52.95,0.52,7.43,8.01,0,28.72,1.93,0.27,0,0.16,0
52.92,0.23,7.39,8.21,0,28.47,2.22,0.32,0,0.24,0
52.41,0.5,7.66,9.67,0,27.3,1.83,0.54,0,0.09,0
55.98,0,2.33,4.72,0.1,31.83,2.81,0.04,0,1.57,0
56.89,0.04,3.19,5.48,0.1,33.72,1.05,0,0,0.84,0
56.66,0.05,3.47,5.4,0.12,32.82,1.56,0.04,0,0.94,0
50.03,0.08,1.43,31,0.42,16.07,0.56,0.01,0,0,0
