,0
0,963.5443128211106
1,1205.8728859449595
2,1210.678891303894
3,973.4160663718075
4,984.2024765672331
5,1250.2915446141767
6,1206.6361058980751
7,1272.0623345717768
8,1265.147660907079
9,1271.378169703436
10,1282.1485328862234
11,1254.2375417108663
12,1118.7083637463634
13,1174.564360603338
14,1236.3598113419764
15,1239.3069463006054
16,1260.6687364853308
17,1217.8603066983637
18,1243.4153652551793
19,1254.9975475805293
20,1262.386600338474
21,1315.7520880100788
22,1183.2227509995348
23,1209.392903005596
24,802.1128855305465
